	primaryName	first	last	first.c	last.c	first.l	last.l	bigram	wv.exists
9737	Patricio Achurra	Patricio	Achurra	8	7.0	patricio	achurra	patricio_achurra	False
9738	Rajaram Achuthanarayanan	Rajaram	Achuthanarayanan	7	16.0	rajaram	achuthanarayanan	rajaram_achuthanarayanan	False
9739	Dahlia Achvette	Dahlia	Achvette	6	8.0	dahlia	achvette	dahlia_achvette	False
9740	Achyuth	Achyuth		7		achyuth			False
9741	Perla Achával	Perla	Achával	5	7.0	perla	achával	perla_achával	False
9742	Cristina Aché	Cristina	Aché	8	4.0	cristina	aché	cristina_aché	False
9743	Geneviève Acien	Geneviève	Acien	9	5.0	geneviève	acien	geneviève_acien	False
9744	Tony Acierto	Tony	Acierto	4	7.0	tony	acierto	tony_acierto	False
9745	Nilüfer Açikalin	Nilüfer	Açikalin	7	8.0	nilüfer	açikalin	nilüfer_açikalin	False
9746	Server Acim	Server	Acim	6	4.0	server	acim	server_acim	False
9747	Danica Acimac	Danica	Acimac	6	6.0	danica	acimac	danica_acimac	False
9748	Dejan Acimovic	Dejan	Acimovic	5	8.0	dejan	acimovic	dejan_acimovic	False
9749	Dimitrije Acimovic	Dimitrije	Acimovic	9	8.0	dimitrije	acimovic	dimitrije_acimovic	False
9750	Karpo Acimovic-Godina	Karpo	Acimovic-Godina	5	15.0	karpo	acimovic-godina	karpo_acimovic-godina	False
9751	Andrej Acin	Andrej	Acin	6	4.0	andrej	acin	andrej_acin	False
9752	Jovan Acin	Jovan	Acin	5	4.0	jovan	acin	jovan_acin	False
9753	Sava Acin	Sava	Acin	4	4.0	sava	acin	sava_acin	False
9754	Ángel Acinas	Ángel	Acinas	5	6.0	ángel	acinas	ángel_acinas	False
9755	Luis Acinella	Luis	Acinella	4	8.0	luis	acinella	luis_acinella	False
9756	Roberto Acinelli	Roberto	Acinelli	7	8.0	roberto	acinelli	roberto_acinelli	False
9757	Hilton Acioly	Hilton	Acioly	6	6.0	hilton	acioly	hilton_acioly	False
9758	Jose Antonio Acioly	Jose	Antonio Acioly	4	14.0	jose	antonio acioly	jose_antonio acioly	False
9759	Karen Acioly	Karen	Acioly	5	6.0	karen	acioly	karen_acioly	False
9760	Thomas Acito	Thomas	Acito	6	5.0	thomas	acito	thomas_acito	False
9761	Gabino Acitores	Gabino	Acitores	6	8.0	gabino	acitores	gabino_acitores	False
9762	Marius Acke	Marius	Acke	6	4.0	marius	acke	marius_acke	False
9763	Lena Ackebo	Lena	Ackebo	4	6.0	lena	ackebo	lena_ackebo	False
9764	Catarina Ackell	Catarina	Ackell	8	6.0	catarina	ackell	catarina_ackell	False
